machine_id,block_id,day,shift_id,assigned
sk_02,B82792,11,S2,1
sk_03,B84093,11,S2,1
fb_01,B76352,11,S3,1
fb_02,B76352,11,S3,1
fb_03,B78567,11,S3,1
ld_01,B77363,11,S3,1
ld_02,B77363,11,S3,1
pr_01,B74735,11,S3,1
pr_02,B78910,11,S3,1
pr_03,B78910,11,S3,1
sk_01,B78910,11,S3,1
sk_02,B80395,11,S3,1
sk_03,B80395,11,S3,1
fb_01,B76352,12,S1,1
fb_02,B76352,12,S1,1
fb_03,B74735,12,S1,1
ld_01,B78910,12,S1,1
ld_02,B74735,12,S1,1
ld_03,B78910,12,S1,1
pr_01,B80395,12,S1,1
pr_02,B84093,12,S1,1
pr_03,B78910,12,S1,1
sk_01,B77651,12,S1,1
sk_02,B78567,12,S1,1
sk_03,B78567,12,S1,1
fb_01,B83630,12,S2,1
fb_02,B76352,12,S2,1
fb_03,B76352,12,S2,1
ld_01,B77363,12,S2,1
ld_02,B78910,12,S2,1
ld_03,B77363,12,S2,1
pr_01,B78910,12,S2,1
pr_02,B78910,12,S2,1
pr_03,B74735,12,S2,1
sk_01,B78567,12,S2,1
sk_02,B80395,12,S2,1
sk_03,B78910,12,S2,1
fb_01,B76352,12,S3,1
fb_02,B76352,12,S3,1
fb_03,B83630,12,S3,1
ld_01,B84093,12,S3,1
pr_01,B74735,12,S3,1
pr_02,B74735,12,S3,1
pr_03,B77651,12,S3,1
sk_01,B80395,12,S3,1
sk_02,B78910,12,S3,1
sk_03,B83630,12,S3,1
fb_01,B76352,13,S1,1
fb_02,B83630,13,S1,1
fb_03,B76352,13,S1,1
ld_01,B78910,13,S1,1
ld_02,B77651,13,S1,1
ld_03,B74735,13,S1,1
pr_01,B77651,13,S1,1
pr_02,B77651,13,S1,1
pr_03,B78910,13,S1,1
sk_01,B74735,13,S1,1
sk_02,B76352,13,S1,1
sk_03,B83630,13,S1,1
fb_01,B76352,13,S2,1
fb_02,B76352,13,S2,1
fb_03,B76352,13,S2,1
ld_01,B80395,13,S2,1
ld_02,B74735,13,S2,1
ld_03,B78910,13,S2,1
pr_01,B77651,13,S2,1
pr_02,B78910,13,S2,1
pr_03,B78567,13,S2,1
sk_01,B76352,13,S2,1
sk_02,B83630,13,S2,1
sk_03,B83630,13,S2,1
fb_01,B76352,13,S3,1
fb_02,B76352,13,S3,1
fb_03,B76352,13,S3,1
ld_01,B84093,13,S3,1
ld_02,B78910,13,S3,1
pr_01,B78567,13,S3,1
pr_02,B78567,13,S3,1
pr_03,B74735,13,S3,1
sk_01,B76352,13,S3,1
sk_02,B76352,13,S3,1
fb_01,B76352,14,S1,1
fb_02,B76352,14,S1,1
fb_03,B76352,14,S1,1
ld_01,B77651,14,S1,1
ld_02,B78567,14,S1,1
ld_03,B78567,14,S1,1
pr_01,B74735,14,S1,1
pr_02,B82792,14,S1,1
pr_03,B82792,14,S1,1
sk_01,B76352,14,S1,1
sk_02,B76352,14,S1,1
sk_03,B83630,14,S1,1
fb_01,B76352,14,S2,1
fb_02,B76352,14,S2,1
fb_03,B76352,14,S2,1
ld_01,B78567,14,S2,1
ld_02,B74735,14,S2,1
ld_03,B78910,14,S2,1
pr_01,B82792,14,S2,1
pr_02,B82792,14,S2,1
pr_03,B83630,14,S2,1
fb_01,B76352,14,S3,1
fb_02,B76319,14,S3,1
fb_03,B76319,14,S3,1
ld_01,B78910,14,S3,1
pr_01,B83630,14,S3,1
pr_02,B83630,14,S3,1
pr_03,B82792,14,S3,1
fb_01,B76319,15,S1,1
fb_02,B76319,15,S1,1
fb_03,B77718,15,S1,1
ld_01,B83630,15,S1,1
ld_02,B82792,15,S1,1
ld_03,B82792,15,S1,1
pr_01,B74735,15,S1,1
pr_02,B74735,15,S1,1
pr_03,B83630,15,S1,1
sk_01,B76352,15,S1,1
sk_02,B76352,15,S1,1
sk_03,B76352,15,S1,1
fb_01,B76319,15,S2,1
fb_02,B76319,15,S2,1
fb_03,B76352,15,S2,1
ld_01,B82792,15,S2,1
ld_02,B74735,15,S2,1
ld_03,B82792,15,S2,1
pr_01,B83630,15,S2,1
pr_02,B80395,15,S2,1
pr_03,B83630,15,S2,1
sk_01,B76319,15,S2,1
fb_01,B76319,15,S3,1
fb_02,B76319,15,S3,1
fb_03,B76352,15,S3,1
pr_01,B83630,15,S3,1
pr_02,B80395,15,S3,1
pr_03,B80395,15,S3,1
fb_01,B76319,16,S1,1
fb_02,B76319,16,S1,1
fb_03,B76352,16,S1,1
ld_01,B80395,16,S1,1
ld_02,B83630,16,S1,1
ld_03,B80395,16,S1,1
pr_01,B80395,16,S1,1
pr_02,B80395,16,S1,1
pr_03,B80395,16,S1,1
sk_01,B76352,16,S1,1
sk_02,B76319,16,S1,1
sk_03,B76319,16,S1,1
fb_01,B76319,16,S2,1
fb_02,B76319,16,S2,1
fb_03,B76352,16,S2,1
ld_01,B83630,16,S2,1
ld_02,B74735,16,S2,1
ld_03,B83630,16,S2,1
pr_01,B77651,16,S2,1
pr_02,B77651,16,S2,1
pr_03,B77651,16,S2,1
fb_01,B76319,16,S3,1
fb_02,B76319,16,S3,1
fb_03,B76319,16,S3,1
pr_01,B77651,16,S3,1
pr_02,B77651,16,S3,1
pr_03,B76352,16,S3,1
fb_01,B76319,17,S1,1
fb_02,B76319,17,S1,1
fb_03,B76319,17,S1,1
ld_01,B77651,17,S1,1
ld_02,B80395,17,S1,1
ld_03,B80395,17,S1,1
pr_01,B76352,17,S1,1
pr_02,B76352,17,S1,1
pr_03,B76352,17,S1,1
sk_01,B76352,17,S1,1
sk_02,B76319,17,S1,1
sk_03,B76319,17,S1,1
fb_01,B76319,17,S2,1
fb_02,B77718,17,S2,1
fb_03,B76319,17,S2,1
ld_01,B77651,17,S2,1
ld_02,B77651,17,S2,1
pr_01,B76352,17,S2,1
pr_02,B76352,17,S2,1
pr_03,B76352,17,S2,1
