machine_id,block_id,day,shift_id,assigned
fb_02,B18200,32,S3,1
ld_01,B21443,32,S3,1
pr_01,B18200,32,S3,1
sk_01,B20673,32,S3,1
sk_02,B21443,32,S3,1
fb_01,B18200,33,S1,1
fb_02,B18200,33,S1,1
ld_01,B18200,33,S1,1
pr_01,B20673,33,S1,1
sk_01,B20673,33,S1,1
sk_02,B21443,33,S1,1
fb_01,B31203,33,S2,1
fb_02,B18200,33,S2,1
ld_01,B20673,33,S2,1
pr_01,B21443,33,S2,1
sk_01,B20673,33,S2,1
sk_02,B18200,33,S2,1
fb_01,B18200,33,S3,1
fb_02,B18200,33,S3,1
ld_01,B20673,33,S3,1
pr_01,B21443,33,S3,1
sk_01,B20673,33,S3,1
sk_02,B20631,33,S3,1
fb_01,B18200,34,S1,1
fb_02,B18200,34,S1,1
ld_01,B20673,34,S1,1
pr_01,B20673,34,S1,1
sk_01,B20673,34,S1,1
sk_02,B20631,34,S1,1
fb_01,B31203,34,S2,1
fb_02,B18200,34,S2,1
ld_01,B20673,34,S2,1
pr_01,B21443,34,S2,1
sk_01,B20673,34,S2,1
sk_02,B18200,34,S2,1
fb_01,B18200,34,S3,1
fb_02,B18200,34,S3,1
ld_01,B21443,34,S3,1
pr_01,B20631,34,S3,1
sk_01,B20673,34,S3,1
sk_02,B20631,34,S3,1
fb_01,B18200,35,S1,1
fb_02,B18200,35,S1,1
ld_01,B20673,35,S1,1
pr_01,B20673,35,S1,1
sk_01,B20673,35,S1,1
sk_02,B20631,35,S1,1
fb_01,B31203,35,S2,1
fb_02,B18200,35,S2,1
ld_01,B20673,35,S2,1
pr_01,B20631,35,S2,1
sk_01,B20673,35,S2,1
sk_02,B18200,35,S2,1
fb_01,B18200,35,S3,1
fb_02,B18200,35,S3,1
ld_01,B21443,35,S3,1
pr_01,B18200,35,S3,1
sk_01,B20673,35,S3,1
sk_02,B20631,35,S3,1
fb_01,B18200,36,S1,1
fb_02,B18200,36,S1,1
ld_01,B18200,36,S1,1
pr_01,B20673,36,S1,1
sk_01,B20673,36,S1,1
sk_02,B20631,36,S1,1
fb_01,B31203,36,S2,1
fb_02,B18200,36,S2,1
ld_01,B20673,36,S2,1
pr_01,B20631,36,S2,1
sk_01,B20673,36,S2,1
sk_02,B18200,36,S2,1
fb_01,B18200,36,S3,1
fb_02,B18200,36,S3,1
ld_01,B21443,36,S3,1
pr_01,B20631,36,S3,1
sk_01,B20673,36,S3,1
sk_02,B20631,36,S3,1
fb_01,B18200,37,S1,1
fb_02,B18200,37,S1,1
ld_01,B20673,37,S1,1
pr_01,B20673,37,S1,1
sk_01,B20673,37,S1,1
sk_02,B20631,37,S1,1
fb_01,B31203,37,S2,1
fb_02,B18200,37,S2,1
ld_01,B20673,37,S2,1
pr_01,B20631,37,S2,1
sk_01,B20673,37,S2,1
sk_02,B18200,37,S2,1
fb_01,B18200,37,S3,1
fb_02,B18200,37,S3,1
ld_01,B21443,37,S3,1
pr_01,B20673,37,S3,1
sk_01,B20673,37,S3,1
sk_02,B20631,37,S3,1
fb_01,B18200,38,S1,1
fb_02,B18200,38,S1,1
ld_01,B20673,38,S1,1
pr_01,B20673,38,S1,1
sk_01,B20631,38,S1,1
sk_02,B20631,38,S1,1
fb_01,B31203,38,S2,1
fb_02,B18200,38,S2,1
ld_01,B20673,38,S2,1
pr_01,B20631,38,S2,1
sk_01,B18200,38,S2,1
sk_02,B20673,38,S2,1
fb_01,B18200,38,S3,1
fb_02,B18200,38,S3,1
ld_01,B21443,38,S3,1
pr_01,B20631,38,S3,1
sk_01,B20673,38,S3,1
